title,url,date,favorite,review,tags
"Amy Sherald Cancels Smithsonian Show citing Censorship from Trump","https://www.nytimes.com/2025/07/24/arts/design/amy-sherald-smithsonian-censorship.html?smid=nytcore-ios-share&referringSource=articleShare","2025-07-24","false","My thoughts on Amy Sherald Cancels Smithsonian Show citing Censorship from Trump","#visual-culture,#painting"
"Apps that Build Themselves - the future of self writing software","https://x.com/omer_vexler/status/1937830092278784136","2025-07-24","true","","#product-design"
"Malleable Software","https://www.inkandswitch.com/essay/malleable-software/","2025-07-24","false","","#design_philosophy,#essays,#product-design"
"Susan Kare, Notes on Design","https://www.youtube.com/watch?v=4lx9Wtd2P48","2025-07-24","false","It was interesting","#design,#design_history"
"Location Sharing Stories on Modern Love","https://podcasts.apple.com/us/podcast/the-daily/id1200361736?i=1000715965253","2025-07-24","false","","#tech-in-culture"
"Amelia Watenbergers Thoughts on Design","https://wattenberger.com/","2025-07-24","false","A really cool portfolio/blog","#essay,#portfolio,#design"
"On craft, quality, and connection in the AI era","https://www.linkedin.com/pulse/made-love-craft-quality-connection-ai-era-figma-qtvne?utm_source=share&utm_medium=member_ios&utm_campaign=share_via","2025-07-24","false","","#design-philosophy,#product-design,#ai"
"Meaning and individuality in the machine intelligence era","https://venturebeat.com/ai/the-human-harbor-navigating-identity-and-meaning-in-the-ai-age/","2025-07-24","false","","#ai,#philosophy"
"In money can't persuade technologists to work against their values","https://www.theverge.com/ai-artificial-intelligence/703929/meta-openai-anthropic-superintelligence-lab-ai-poaching-money","2025-07-24","false","","#tech-ethics"
"Michael Beirut on sketchbooks, political branding, and his long career in design","https://podcasts.apple.com/us/podcast/by-design/id1815767140?i=1000714327169","2025-07-24","false","","#bio,#design"
"Practice, a book on design by Figma","https://www.figma.com/blog/the-making-of-practice/","2025-07-24","false","","#design,#essay"
"RL Reigns Supreme","https://www.chemistry.vc/post/rl-reigns-supreme","2025-07-24","false","","#algos,#ai"
"Adaptive Interfaces in the era of AI","https://x.com/ryolu_/status/1939504694411546643?s=46&t=1pxT5CPa1jRWuGNZaJoV9w","2025-07-24","false","","#design-philosphy,#ai,#product-design"
"Google CLI","https://techcrunch.com/2025/06/25/google-unveils-gemini-cli-an-open-source-ai-tool-for-terminals/","2025-07-24","false","","#tools,#algos"
"Illustrators fear AI","https://www.nytimes.com/interactive/2025/06/23/magazine/ai-art-artists-illustrator.html?unlocked_article_code=1.RU8.HXq6.MnJHdGPv9Ch1&smid=nytcore-ios-share&referringSource=articleShare","2025-07-24","false","","#ai,#illustration"
"Aaron Hersman, my jounrey in art and computing","https://www.youtube.com/watch?v=ehgjc9KEWYk","2025-07-24","false","","#creative-tech"
"Failed Startup Founders Progress Quicker in their Careers","https://www.library.hbs.edu/working-knowledge/why-a-failed-startup-might-be-good-for-your-career-after-all","2025-07-24","false","",""
"Jenny Saville Monograph at British ","https://www.newyorker.com/magazine/2025/06/16/jenny-saville-profile ","2025-07-24","false","",""
"VVG in Arles, Exhib at Boston MFA","https://www.nytimes.com/2025/06/19/arts/design/van-gogh-mfa-boston.html ","2025-07-24","false","",""
"Big Tech revives Skeumorphism","https://www.bloomberg.com/news/articles/2025-06-13/apple-airbnb-ditch-flat-app-icons-for-new-3d-ui-design?accessToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzb3VyY2UiOiJTdWJzY3JpYmVyR2lmdGVkQXJ0aWNsZSIsImlhdCI6MTc0OTg3MzA0MSwiZXhwIjoxNzUwNDc3ODQxLCJhcnRpY2xlSWQiOiJTWFNKV1pEV0xVNkEwMCIsImJjb25uZWN0SWQiOiIwNEFGQkMxQkYyMTA0NUVEODg3MzQxQkQwQzIyNzRBMCJ9.hDuFMKOgxN06EWOsfMcE2enuX0kV7P76Hqah-lP-OE0&leadSource=uverify%20wall ","2025-07-24","false","",""
"Prompt Science","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5165270","2025-07-24","false","",""
"The Gentle Singularity","https://blog.samaltman.com/the-gentle-singularity","2025-07-24","false","",""
"Bill Atkinson Lessons on Design","https://www.figma.com/blog/bill-atkinsons-10-rules-for-making-interfaces-more-human/","2025-07-24","false","",""
